Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Postal Code,Market,Product ID,Category,Sub-Category,Brand,Product Name,Sales Channel,Store ID,Order Priority,Payment Mode,Quantity,Unit Price,Discount,COGS,Sales,Profit,Returned,Promo Applied
ORD-2020-000001,2019-05-11,2019-05-12,Same Day,CUST-1520,Amit Patel,Home Office,India,Delhi,Delhi,North,339259,APAC,HOU-TIS-9675,Household,Tissue,Origami,Origami Tissue,Online,SM103,Medium,Card,4,243.49,0.09,819.08,886.3,67.22,0,0
ORD-2021-000002,2020-04-04,2020-04-07,Same Day,CUST-6574,Karan Khan,Consumer,India,Jaipur,Rajasthan,North,335773,APAC,BAK-CAK-2616,Bakery,Cakes,Monginis,Monginis Cakes,Online,SM114,Medium,UPI,1,252.25,0.15,139.27,214.41,75.14,0,0
ORD-2022-000003,2023-12-12,2023-12-14,First Class,CUST-7201,Priya Mehta,Corporate,India,Delhi,Delhi,North,417420,APAC,BEV-MIN-8786,Beverages,Mineral Water,Himalayan,Himalayan Mineral Water,Online,SM125,Medium,Card,2,23.69,0.0,37.22,47.38,10.16,0,0
ORD-2023-000004,2024-08-30,2024-09-01,Same Day,CUST-5554,Ananya Mondal,Consumer,India,Kolkata,West Bengal,East,280556,APAC,PRO-APP-1655,Produce,Apples,Shimla,Shimla Apples,Offline,SM124,Low,UPI,2,31.96,0.0,35.42,63.92,28.5,0,0
ORD-2024-000005,2021-02-14,2021-02-15,Same Day,CUST-7216,Karan Mehta,Home Office,India,Chennai,Tamil Nadu,South,340284,APAC,BAK-COO-2678,Bakery,Cookies,Britannia,Britannia Cookies,Offline,SM105,Low,UPI,2,283.53,0.13,466.58,493.34,26.76,0,1
ORD-2019-000006,2023-04-29,2023-05-05,Same Day,CUST-7482,Ananya Khan,Corporate,India,Mumbai,Maharashtra,West,387747,APAC,DAI-GHE-3484,Dairy,Ghee,Patanjali,Patanjali Ghee,Online,SM102,Medium,COD,4,83.23,0.0,272.48,332.92,60.44,0,0
ORD-2020-000007,2019-12-04,2019-12-07,First Class,CUST-2796,Rahul Khan,Corporate,India,Jaipur,Rajasthan,North,552667,APAC,DAI-YOG-1490,Dairy,Yogurt,Mother Dairy,Mother Dairy Yogurt,Online,SM111,High,UPI,2,159.53,0.0,231.64,319.06,87.42,0,0
ORD-2021-000008,2022-02-26,2022-02-27,First Class,CUST-5808,Vikram Khan,Consumer,India,Surat,Gujarat,West,585764,APAC,HOU-DET-5574,Household,Detergent,Tide,Tide Detergent,Offline,SM121,Critical,Card,2,580.2,0.07,640.14,1079.17,439.03,0,0
ORD-2022-000009,2024-09-19,2024-09-24,Standard Class,CUST-3646,Rohit Mehta,Consumer,India,Chennai,Tamil Nadu,South,110600,APAC,HOU-SHA-2505,Household,Shampoo,Head & Shoulders,Head & Shoulders Shampoo,Offline,SM127,Medium,UPI,3,494.81,0.0,1194.99,1484.43,289.44,0,0
ORD-2023-000010,2021-03-15,2021-03-19,Same Day,CUST-2133,Rohit Khan,Corporate,India,Delhi,Delhi,North,244629,APAC,BEV-COF-1404,Beverages,Coffee,Nescafe,Nescafe Coffee,Offline,SM107,High,NetBanking,1,91.91,0.0,68.13,91.91,23.78,0,1
ORD-2024-000011,2020-05-17,2020-05-21,Same Day,CUST-7118,Ananya Mehta,Consumer,India,Bengaluru,Karnataka,South,583418,APAC,BAK-COO-5108,Bakery,Cookies,Britannia,Britannia Cookies,Online,SM129,Medium,NetBanking,2,267.86,0.0,374.0,535.72,161.72,0,0
ORD-2019-000012,2021-05-13,2021-05-16,First Class,CUST-1514,Neha Patel,Consumer,India,Kolkata,West Bengal,East,649132,APAC,HOU-TIS-3751,Household,Tissue,Origami,Origami Tissue,Online,SM102,Medium,UPI,1,327.96,0.05,211.31,311.56,100.25,0,0
ORD-2020-000013,2023-05-17,2023-05-20,First Class,CUST-2588,Vikram Mondal,Home Office,India,Hyderabad,Telangana,South,554155,APAC,DAI-CHE-3120,Dairy,Cheese,Go,Go Cheese,Online,SM115,High,UPI,4,139.43,0.01,452.56,552.14,99.58,0,1
ORD-2021-000014,2022-11-01,2022-11-04,Second Class,CUST-9786,Ananya Khan,Corporate,India,Mumbai,Maharashtra,West,552375,APAC,PRO-APP-3140,Produce,Apples,Shimla,Shimla Apples,Offline,SM123,Low,Wallet,5,98.4,0.03,270.7,477.24,206.54,0,0
ORD-2022-000015,2022-06-11,2022-06-13,Second Class,CUST-7658,Ananya Gupta,Consumer,India,Delhi,Delhi,North,334131,APAC,BAK-BRE-3873,Bakery,Bread,Britannia,Britannia Bread,Online,SM120,Medium,NetBanking,2,115.48,0.0,192.36,230.96,38.6,0,1
ORD-2023-000016,2023-06-25,2023-06-27,Second Class,CUST-5861,Sneha Sharma,Corporate,India,Bengaluru,Karnataka,South,678533,APAC,SNA-POP-2537,Snacks,Popcorn,Jiffy Pop,Jiffy Pop Popcorn,Online,SM109,Medium,Wallet,5,74.79,0.0,209.8,373.95,164.15,0,0
ORD-2024-000017,2022-02-27,2022-03-02,First Class,CUST-4853,Vikram Patel,Consumer,India,Mumbai,Maharashtra,West,368176,APAC,BAK-BRE-1123,Bakery,Bread,Modern,Modern Bread,Offline,SM101,High,Card,1,188.73,0.05,129.15,179.29,50.14,0,0
ORD-2019-000018,2020-02-05,2020-02-09,Standard Class,CUST-7484,Rahul Das,Corporate,India,Delhi,Delhi,North,589435,APAC,HOU-TIS-3911,Household,Tissue,Bello,Bello Tissue,Online,SM106,Medium,UPI,1,345.15,0.0,227.91,345.15,117.24,0,0
